,precision,recall,f1-score
0,0.7818181818181819,0.8958333333333334,0.8349514563106797
1,0.8571428571428571,0.7142857142857143,0.7792207792207793
accuracy,0.8111111111111111,0.8111111111111111,0.8111111111111111
